album_id,album_name,release_date,label,copyrights
spotify:album:4MC0ZjNtVP1nDD5lsLxFjc,Songs Collection,1992-08-03,Jams Communications,"C 1992 Copyright Control, P 1992 Jams Communications"
spotify:album:5xLAcbvbSAlRtPXnKkggXA,Pitbull Starring In Rebelution,2009-10-23,Mr.305/Polo Grounds Music/J Records,"P (P) 2009 RCA/JIVE Label Group, a unit of Sony Music Entertainment"
spotify:album:3WNxdumkSMGMJRhEgK80qx,...Baby One More Time (Digital Deluxe Version),1999-01-12,Jive,P (P) 1999 Zomba Recording LLC
spotify:album:6lL6HugNEN4Vlc8sj0Zcse,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)",2014-10-20,Sanctuary Records,"C © 2014 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2014 Sanctuary Records Group Ltd., a BMG Company"
spotify:album:0c78nsgqX6VfniSNWIxwoD,Let It Bleed,1969-12-05,Universal Music Group,"C © 2002 ABKCO Music & Records Inc., P ℗ 2002 ABKCO Music & Records Inc."
spotify:album:1bt6q2SruMsBtcerNVtpZB,Rumours,1977-02-04,Rhino/Warner Records,"C © 2004 Warner Records Inc., P ℗ 2004 Warner Records Inc."
spotify:album:7pkLXlFdpQDfmHujT2AbBK,Eastside (with Halsey & Khalid),2018-07-12,Benny Blanco Solo Album PS,"C © 2018 Friends Keep Secrets/Interscope Records, P ℗ 2018 Friends Keep Secrets/Interscope Records"
spotify:album:3g61rwvRs1NPeVBxuAMmHZ,Candle In The Wind 1997 / Something About ...,1997-01-01,EMI,"C © 1997 Mercury Records Limited, P This Compilation ℗ 1997 Mercury Records Limited"
spotify:album:2Pw51hAGvWpTA3AYl2WVuu,4 (Expanded),1981,Rhino Atlantic,"C © 2002 Atlantic Recording Corp., marketed by Rhino Entertainment Company, a Warner Music Group company, P ℗ 2002 Atlantic Recording Corp."
spotify:album:0S9QJQiRmG9JYYfJfKqhDF,Illuminate (Deluxe),2016-09-23,Universal Music Group,"C © 2016 Island Records, a division of UMG Recordings, Inc., P ℗ 2016 Island Records, a division of UMG Recordings, Inc."
spotify:album:3bRdFxQZdU5g6VjLq8KaU7,The Greatest Hits,2002-09-10,Arista,P (P) 2003 BMG UK & Ireland Ltd
spotify:album:72olNArm75vOycSziqIX9Y,Away From The Sun,2002-11-12,Universal Records,"C © 2002 Universal Records, a Division of UMG Recordings, Inc., P ℗ 2002 Universal Motown Records, a division of UMG Recordings, Inc."
spotify:album:338yWfNJWW2SXxVfIdczUD,The Best of The Monkees,2003,Rhino,"C © 2003 Warner Strategic Marketing. Warner Music Group, an AOL Time Warner Co., P ℗ 2003 Warner Strategic Marketing. Warner Music Group, an AOL Time Warner Co."
spotify:album:5zh2BzO2n6tSpZe0PgZc8v,London Town,1978-03-31,Paul McCartney Catalog,"C © 1978 MPL Communications Inc/Ltd, P ℗ 1993 MPL Communications Inc/Ltd"
