track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:1XAZlnVtthcDZt2NI1Dtxo,0.617,0.872,8.0,-12.305,1.0,0.048,0.0158,0.112,0.408,0.504,111.458,4.0
spotify:track:6a8GbQIlV8HBUW3c6Uk9PH,0.825,0.743,2.0,-5.995,1.0,0.149,0.0142,2.12e-05,0.237,0.8,127.045,4.0
spotify:track:70XtWbcVZcpaOddJftMcVi,0.677,0.665,7.0,-5.171,1.0,0.0305,0.56,1.01e-06,0.338,0.706,74.981,4.0
spotify:track:1NXUWyPJk5kO6DQJ5t7bDu,0.683,0.728,9.0,-8.92,1.0,0.259,0.568,5.08e-05,0.0384,0.833,75.311,4.0
spotify:track:72WZtWs6V7uu3aMgMmEkYe,0.319,0.627,0.0,-9.611,1.0,0.0687,0.675,7.29e-05,0.289,0.497,85.818,4.0
spotify:track:4bEb3KE4mSKlTFjtWJQBqO,0.671,0.71,9.0,-7.724,1.0,0.0356,0.0393,1.12e-05,0.0387,0.834,118.745,4.0
spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,4.0
spotify:track:5LjSxAIKwyZvQqJ04ZQ0Da,0.48,0.628,6.0,-7.643,1.0,0.0262,0.174,3.28e-05,0.0753,0.541,143.412,4.0
spotify:track:00qOE7OjRl0BpYiCiweZB2,0.357,0.653,9.0,-5.554,1.0,0.0654,0.0828,0.0,0.0844,0.522,176.647,4.0
spotify:track:3OalxlWH0v14kyBcNBMINt,0.562,0.681,11.0,-4.934,0.0,0.0871,0.113,0.0,0.11,0.357,148.064,4.0
spotify:track:0CtkjgZpkgnW7U6WmHsakD,0.852,0.874,7.0,-11.208,1.0,0.0427,0.0168,0.45,0.133,0.666,129.029,4.0
spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,0.557,0.533,10.0,-6.817,0.0,0.0252,0.0492,0.0,0.205,0.233,143.994,4.0
spotify:track:09tyJ0VvbLty84iHIV3WQn,0.26,0.659,2.0,-8.98,1.0,0.0625,0.114,2.95e-05,0.499,0.537,184.38,4.0
spotify:track:73JqQIGZUZxCVfY54RSpCH,0.652,0.372,6.0,-15.445,0.0,0.0321,0.069,0.000197,0.0923,0.283,111.984,4.0
spotify:track:6K8qKeWo5MsFED7wCR6Kop,0.818,0.67,8.0,-4.451,0.0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,4.0
spotify:track:3tP0kdmWRSqmJAt4nR3ykw,0.605,0.731,10.0,-9.327,1.0,0.0358,0.24,0.000459,0.257,0.638,123.332,4.0
spotify:track:2760p399WNJLX9LGBkjL4Z,0.813,0.754,4.0,-3.911,0.0,0.0494,0.166,0.0,0.121,0.923,112.962,4.0
spotify:track:5yJCo7EewUcX9qj5nnk9O2,0.483,0.533,6.0,-9.883,1.0,0.145,0.805,0.0,0.161,0.878,140.11,4.0
spotify:track:2uiyVyP0Rvl0MgB8ehoc07,0.736,0.563,2.0,-13.837,1.0,0.0312,0.0165,0.0,0.166,0.96,102.021,4.0
spotify:track:2J22VgQALSoekF3KCj1nIk,0.637,0.416,2.0,-7.595,1.0,0.0269,0.434,0.0,0.139,0.588,145.922,4.0
spotify:track:1O0BTayCdWgQYAYYUynSpe,0.648,0.936,7.0,-5.968,1.0,0.0797,0.0981,2.24e-05,0.0712,0.856,103.272,4.0
spotify:track:1PWnAEQcbwQwK759otUbta,0.261,0.302,5.0,-8.19,0.0,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,3.0
spotify:track:59mUgn4E4DWcB2lh5oRG2I,0.667,0.66,9.0,-8.819,1.0,0.0348,0.117,0.000854,0.0707,0.905,133.867,4.0
spotify:track:6YndZBGmLySgsVScckWkmO,0.364,0.606,5.0,-9.188,0.0,0.0831,0.0748,0.000322,0.106,0.289,99.73,4.0
spotify:track:3yDhZq8f17SmumVmEyCaRN,0.862,0.624,3.0,-11.63,1.0,0.0565,0.0192,0.000153,0.0465,0.882,124.896,4.0
spotify:track:4X8KnalmdKJE4C0vMb8CmD,0.393,0.958,2.0,-2.102,1.0,0.0871,0.00966,0.0,0.214,0.323,150.074,4.0
spotify:track:5ibhWB91OHgTVVwtVFMLKP,0.789,0.84,11.0,-4.059,0.0,0.0361,0.00616,0.0,0.0646,0.821,103.957,4.0
