track_id,track_name,album_id,disc_number,track_number,duration_ms,preview_url,is_explicit,popularity,isrc
spotify:track:1XAZlnVtthcDZt2NI1Dtxo,Justified & Ancient - Stand by the Jams,spotify:album:4MC0ZjNtVP1nDD5lsLxFjc,1,3,216270,,False,0,QMARG1760056
spotify:track:6a8GbQIlV8HBUW3c6Uk9PH,I Know You Want Me (Calle Ocho),spotify:album:5xLAcbvbSAlRtPXnKkggXA,1,3,237120,https://p.scdn.co/mp3-preview/d6f8883fc955cb0ecb7f3e1e06e77a9d8611158d?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,USJAY0900144
spotify:track:70XtWbcVZcpaOddJftMcVi,From the Bottom of My Broken Heart,spotify:album:3WNxdumkSMGMJRhEgK80qx,1,6,312533,https://p.scdn.co/mp3-preview/1de5faef947224dcb7efb26a5303ae0735b28167?cid=9950ac751e34487dbbe027c4fd7f8e99,False,56,USJI19910455
spotify:track:1NXUWyPJk5kO6DQJ5t7bDu,Apeman - 2014 Remastered Version,spotify:album:6lL6HugNEN4Vlc8sj0Zcse,1,11,233400,https://p.scdn.co/mp3-preview/c4df3a832509cc5506bd0c91419146f78d864825?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,GB5KW1499822
spotify:track:72WZtWs6V7uu3aMgMmEkYe,You Can't Always Get What You Want,spotify:album:0c78nsgqX6VfniSNWIxwoD,1,9,448720,,False,0,USA176910100
spotify:track:4bEb3KE4mSKlTFjtWJQBqO,Don't Stop - 2004 Remaster,spotify:album:1bt6q2SruMsBtcerNVtpZB,1,4,193346,https://p.scdn.co/mp3-preview/64b1e9388ec19f29fa36d38d1f80f56d77df56a3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,79,USWB10400049
spotify:track:0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),spotify:album:7pkLXlFdpQDfmHujT2AbBK,1,1,173799,https://p.scdn.co/mp3-preview/24726be4c89b67eab298a72560b637581450421c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,78,USUM71809132
spotify:track:5LjSxAIKwyZvQqJ04ZQ0Da,Something About The Way You Look Tonight - Edit Version,spotify:album:3g61rwvRs1NPeVBxuAMmHZ,1,1,240546,https://p.scdn.co/mp3-preview/3e5a8a62babcf10b5b4d11d1485f4ed452dbdc7b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,61,GBAMS9700013
spotify:track:00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,spotify:album:2Pw51hAGvWpTA3AYl2WVuu,1,2,259800,https://p.scdn.co/mp3-preview/2353bb343dd4f1872d954b1603587597e9258630?cid=9950ac751e34487dbbe027c4fd7f8e99,False,74,USAT20803006
spotify:track:3OalxlWH0v14kyBcNBMINt,Mercy,spotify:album:0S9QJQiRmG9JYYfJfKqhDF,1,2,208733,,False,0,USUM71603531
spotify:track:0CtkjgZpkgnW7U6WmHsakD,It's Like That,spotify:album:3bRdFxQZdU5g6VjLq8KaU7,1,1,250626,https://p.scdn.co/mp3-preview/96c34eb444ca9d7fb771afc47a1fd85c556eda29?cid=9950ac751e34487dbbe027c4fd7f8e99,False,68,USAR19700609
spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,spotify:album:72olNArm75vOycSziqIX9Y,1,6,238733,https://p.scdn.co/mp3-preview/9b68307f4204ff0342561d75a6c48312abb3e0d3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,80,USUR10200764
spotify:track:09tyJ0VvbLty84iHIV3WQn,Listen to the Band - Single Version,spotify:album:338yWfNJWW2SXxVfIdczUD,1,25,149106,https://p.scdn.co/mp3-preview/c88eb650c0b16be4fe5da73029859ae026a3865c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,31,USRH10281208
spotify:track:73JqQIGZUZxCVfY54RSpCH,With A Little Luck - Remastered 1993,spotify:album:5zh2BzO2n6tSpZe0PgZc8v,1,9,344773,,False,0,GBCCS0700630
spotify:track:6K8qKeWo5MsFED7wCR6Kop,Sing,spotify:album:1xn54DMo2qIqBuMqHtUsFd,1,3,235382,https://p.scdn.co/mp3-preview/6427953465d954b73d4b2bebec48d01b806ba8f4?cid=9950ac751e34487dbbe027c4fd7f8e99,False,73,GBAHS1400082
spotify:track:3tP0kdmWRSqmJAt4nR3ykw,Mississippi,spotify:album:0A1kkCm8cEEPcA6yIkz1wr,1,8,273800,https://p.scdn.co/mp3-preview/e7ec360dc3bc02d65916ac426d6b5621c7bfcc92?cid=9950ac751e34487dbbe027c4fd7f8e99,False,58,NLA277500082
spotify:track:2760p399WNJLX9LGBkjL4Z,Flava,spotify:album:0RsPmRzTbarQCXBgLSW5Ox,1,2,185266,https://p.scdn.co/mp3-preview/1725984aad26a01d4d324b5e41d2c995323fe00a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,5,AUBM01500025
spotify:track:5yJCo7EewUcX9qj5nnk9O2,Baby Sittin' Boogie - Radio Version,spotify:album:1LL6GWTsMYiRc0fwGfoU3h,1,24,122958,https://p.scdn.co/mp3-preview/6798b36f687e65889d4987e0dd3b3508b9c0647f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,6,DEAR41442794
spotify:track:2uiyVyP0Rvl0MgB8ehoc07,Dr. Love,spotify:album:60XZbb6xRKj7waYqeJi3wz,1,2,189320,https://p.scdn.co/mp3-preview/7474cf366ef5526e444fd9b78bb70abd3ee4acb9?cid=9950ac751e34487dbbe027c4fd7f8e99,False,15,GBQRF1119559
spotify:track:2J22VgQALSoekF3KCj1nIk,Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),spotify:album:21c5423eTa6tKyMs9DKGW7,1,1,226760,,False,0,USQX91100225
spotify:track:1O0BTayCdWgQYAYYUynSpe,I'm Free,spotify:album:6WLRzKWVxm6qPEUBMVG5cH,1,2,211693,,False,0,GBUM71104914
spotify:track:1PWnAEQcbwQwK759otUbta,"Writing's On The Wall - From ""Spectre"" Soundtrack",spotify:album:50bQvrNAFsAaIbqCcfD7FT,1,1,278987,https://p.scdn.co/mp3-preview/bf3cb5ef872faafce3d59468a538dcd98a4cbfa2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,68,GBUM71505354
